Arsenal
Aston Villa
Bournemouth
Brighton
Burnley
Chelsea
Crystal Palace
Everton
Fulham
Leicester
Liverpool
Man
Man City
Newcastle
Norwich
Sheffield Utd.
Southampton
Swansea
Watford
West Ham
Wolves
