1 Liga
1. Dorostenecká liga
1. Liga gr. 1
1. Liga gr. 2
1. Liga gr. 3
1.Division
1.HNL
1.Lig
1.Liga
2 Liga
2. Bundesliga
2. LL NÖ Ost
2. LL NÖ West
2. Landesliga Wien
2. Liga
2. Liga Inter - Gr. 1
2. Liga Inter - Gr. 2
2. Liga Inter - Gr. 3
2. Liga Inter - Gr. 4
2. Liga Inter - Gr. 5
2. Liga Inter - Gr. 6
2.Division
2.Division Kvalifikationsspil
2.Division Oprykningsspil
2.HNL
2.Lig Beyaz
2.Lig Kirmizi
2de Amateurs ACFF A
2de Amateurs VFV A
2de Amateurs VFV B
2ª B - Grupo I
2ª B - Grupo II
2ª B - Grupo III
2ª B - Grupo IV
3 Liga - Group I
3 Liga - Group II
3 Liga - Group III
3 Liga - Group IV
3. Liga
3.Lig Grup 1
3.Lig Grup 2
3.Lig Grup 3
A Grupa - Championship gr.
A Lyga
A-League
A-Pojat SM Sarja Endrunde
ABSA Premiership
Allsvenskan
Ascenso MX Apertura
Ascenso MX Clausura
Aufstiegsr. Eerste Klasse Am.
Azadegan League
BGL Ligue
Bangladesh PL
Bardsragujn chumb
Bayernliga Süd
Beloften Eerste Divisie
Beloften Eredivisie
Beloften Preliminary Round
Berlin-Liga
Betri-deildin
Botola Pro
Brandenburgliga
Bremenliga
Bundesliga
Burgenlandliga
CFL
Camp. Sammarinese
Camp. Sammarinese I
Camp. Sammarinese II
Challenge League
Championnat National
Championship
Crystalbet Erovnuli Liga
Cymru Alliance League
Cymru Premier
Derde Divisie Saturday
Derde Divisie Sunday
Division 1 Norra
Division 1 Södra
Divizia Nationala
Druga Liga
Eerste Amateur
Ehrenpromotion
Ekstraklasa
Eliteserien
Eredivisie
Esiliiga
Esiliiga B
FNL
First Division
First League
Football League
Fort. Liga - Champ. G.
Fort. Liga - Releg. G.
Fortuna Liga
Fortuna Liga Abstiegsplayoff
Fortuna Liga Abstiegsrunde
Fortuna Liga Meisterrunde
Gibraltar National League
Hong Kong PL
Hoofdklasse A Saturday
Hoofdklasse A Sunday
Hoofdklasse B Saturday
Hoofdklasse B Sunday
I-League
I-League 2nd Division
II. Liga
IPKO Superliga
Indian Super League
Inkasso-deildin
J1 League
J2 League
J3 League
JFL
Jupiler Pro League
K League 1
K League 2
Kakkonen - Group A
Kakkonen - Group B
Kakkonen - Group C
Kasachischer Supercup
Kategoria Superiore
Keuken Kampioen Divisie
Korea National League
Kärntner Liga
LL Hannover
LL Holstein
LL Lüneburg
LL Mittelr. 1
LL Mittelr. 2
LL Niederrhein-Gr. 1
LL Niederösterreich
LL Steiermark
LL Weser-Ems
LaLiga
LaLiga2
Landesliga Bayern Südwest
Landesliga Bremen
Landesliga Hammonia
League 2
League One
League Two
League Two North
League Two South
Liga 1
Liga 1 Apertura
Liga 1 Clausura
Liga 2
Liga Leumit
Liga MX Apertura
Liga MX Clausura
Liga NOS
Liga Pro
Liga Revelacao
Liga Águila II
LigaPro Serie A
Ligat ha'Al
Ligue 1
Ligue 2
Ligue I Pro
Ligue Professionnelle 1
Linglong Tire Super liga Srbije
MLS
MSFL
Meisterrunde
Mittelrheinliga
NASL Fall Championship
NB I.
NB II.
NOFV-Oberliga Nord
NOFV-Oberliga Süd
NPFL
NPFL Playoffs
NPSL Midwest - Great Lakes
NPSL Northeast - Mid-Atlantic
NPSL South - Southeast
NPSL South - Sunshine
NPSL West - Southwest
National League
New Zealand Premiership
NordicBet LIGA
OBOS-ligaen
OL Niedersachsen
Oberliga Baden-Württemberg
Oberliga Hamburg
Oberliga Niederrhein
Oberliga Rheinland-Pfalz/Saar
Oberliga Schleswig-Holstein
Oberliga Westfalen
OÖ Liga
PFL
PFL Central
PFL Ost
PFL South
PFL Ural-Povolzje
PFL West
Pepsi Max deild
Persha Liha
Persian Gulf Pro League
Playoff Europa League
PostNord-ligaen Avd. 1
PostNord-ligaen Avd. 2
Premier League
Premier League 2
Premier League Fall S.
Premier Liga
Premiership
Premijer Liga
Premijer Liga BiH U19
Premium Liiga
Premyer Liqasi
Primavera 1
Primavera 2a
Primavera 2b
Primera Div. Apertura
Primera Div. Clausura
Primera Divisió
Primera División
Primera Nacional
Professional League
Promotion League
Proximus League
Proximus League Abst.
Prva Liga
Prva Liga RS
Prva liga
Prva liga FBIH
Prva liga Srbije
RL Mitte
RL Ost
RL West
Regional League Central
Regional League East
Regionalliga Bayern
Regionalliga Nord
Regionalliga Nordost
Regionalliga Südwest
Regionalliga Tirol
Regionalliga West
Rel. Super League
Rheinlandliga
Saarlandliga
Salzburger Liga
Saudi Professional League Relegation
